Average reception service time (min),Average nurse service time(min),Average cubicle service time(hours),Average bed service time(hours),Average reception queue time(min),Average nurse queue time(min),Average cubicle queue time(min),Average bed queue time(min),Total time operating(days),Total patients,Total deceased,Total recovered,Ration deceased,Ratio recovered,Total ratio,Receptionist bill ($),Nurse bill ($),Cubicle bill ($),Bed bill ($),Total expenditure ($),Total revenue ($),Total profit ($)
6.68,26.22,1.07,3.46,1.73,8.31,10.87,27.45,6.97,312,92.0,220.0,0.2948717948717949,0.7051282051282052,1.0,22592.41,70287.51,160657.16,481971.47,735508.55,2340000,1604491.45
7.4,24.88,0.98,3.11,2.8,6.84,3.62,14.6,6.97,307,75.0,232.0,0.24429967426710097,0.755700325732899,1.0,22571.87,70223.6,160511.09,481533.26,734839.82,2302500,1567660.18
6.63,29.98,1.04,3.24,2.11,6.98,2.62,6.15,6.98,296,76.0,220.0,0.25675675675675674,0.7432432432432432,1.0,22608.87,70338.7,160774.18,482322.54,736044.29,2220000,1483955.71
6.89,25.11,1.01,3.3,1.15,2.96,1.83,15.87,6.93,279,75.0,204.0,0.26881720430107525,0.7311827956989247,1.0,22447.89,69837.89,159629.47,478888.41,730803.67,2092500,1361696.33
7.34,22.95,0.98,3.11,2.09,3.68,4.65,8.7,6.99,294,75.0,219.0,0.25510204081632654,0.7448979591836735,1.0,22659.87,70497.37,161136.84,483410.53,737704.61,2205000,1467295.39
7.01,23.92,1.08,2.74,2.03,2.55,8.29,2.23,6.99,294,74.0,220.0,0.25170068027210885,0.7482993197278912,1.0,22649.13,70463.95,161060.45,483181.34,737354.86,2205000,1467645.14
6.9,24.15,1.01,3.2,1.83,6.87,2.83,11.56,6.99,300,79.0,221.0,0.2633333333333333,0.7366666666666667,1.0,22649.0,70463.54,161059.53,483178.58,737350.64,2250000,1512649.36
6.82,24.95,0.97,2.89,1.64,2.6,3.2,7.1,6.97,294,82.0,212.0,0.2789115646258503,0.7210884353741497,1.0,22597.14,70302.22,160690.78,482072.34,735662.48,2205000,1469337.52
6.75,26.35,1.08,3.2,2.01,3.36,9.11,8.24,6.98,304,77.0,227.0,0.2532894736842105,0.7467105263157895,1.0,22620.4,70374.57,160856.16,482568.49,736419.62,2280000,1543580.38
6.36,24.45,1.04,2.85,1.72,6.18,1.56,11.07,6.99,270,66.0,204.0,0.24444444444444444,0.7555555555555555,1.0,22656.52,70486.97,161113.06,483339.19,737595.75,2025000,1287404.25
7.06,24.04,0.96,3.01,1.55,3.32,1.77,11.13,6.97,295,74.0,221.0,0.25084745762711863,0.7491525423728813,1.0,22585.25,70265.23,160606.24,481818.73,735275.46,2212500,1477224.54
7.25,25.14,1.06,3.33,1.74,6.4,2.85,32.46,6.99,312,78.0,234.0,0.25,0.75,1.0,22657.07,70488.65,161116.92,483350.76,737613.4,2340000,1602386.6
7.1,26.85,0.97,2.9,2.71,7.63,2.65,10.17,7.0,288,77.0,211.0,0.2673611111111111,0.7326388888888888,1.0,22668.38,70523.86,161197.39,483592.17,737981.8,2160000,1422018.2
6.74,24.89,0.95,2.66,1.56,4.23,2.44,6.88,6.96,307,82.0,225.0,0.2671009771986971,0.7328990228013029,1.0,22545.69,70142.16,160324.93,480974.79,733987.57,2302500,1568512.43
6.87,24.05,0.89,2.95,1.83,4.04,1.87,12.16,6.99,264,67.0,197.0,0.2537878787878788,0.7462121212121212,1.0,22662.48,70505.51,161155.45,483466.34,737789.77,1980000,1242210.23
7.57,25.26,0.99,3.17,2.56,8.46,5.32,29.28,6.99,323,78.0,245.0,0.24148606811145512,0.7585139318885449,1.0,22654.98,70482.17,161102.09,483306.28,737545.52,2422500,1684954.48
7.5,25.47,1.07,3.21,1.98,3.69,2.71,8.28,6.97,290,61.0,229.0,0.2103448275862069,0.7896551724137931,1.0,22593.0,70289.33,160661.32,481983.97,735527.63,2175000,1439472.37
6.48,20.83,0.99,3.26,1.32,1.19,1.12,6.0,6.99,279,63.0,216.0,0.22580645161290322,0.7741935483870968,1.0,22658.01,70491.59,161123.63,483370.9,737644.14,2092500,1354855.86
7.52,28.62,1.0,3.19,1.97,5.02,3.03,19.34,7.0,300,80.0,220.0,0.26666666666666666,0.7333333333333333,1.0,22671.76,70534.38,161221.44,483664.32,738091.9,2250000,1511908.1
7.32,26.58,1.01,3.1,1.68,8.0,15.4,19.56,6.95,297,64.0,233.0,0.21548821548821548,0.7845117845117845,1.0,22521.19,70065.92,160150.68,480452.04,733189.82,2227500,1494310.18
7.58,24.39,1.03,3.0,1.89,3.69,2.32,5.48,6.99,277,77.0,200.0,0.2779783393501805,0.7220216606498195,1.0,22656.65,70487.36,161113.96,483341.89,737599.87,2077500,1339900.13
6.61,28.2,1.04,2.87,2.06,6.35,6.09,4.29,6.87,283,73.0,210.0,0.2579505300353357,0.7420494699646644,1.0,22273.05,69293.92,158386.1,475158.3,725111.37,2122500,1397388.63
6.27,25.97,1.0,3.2,2.1,3.9,1.74,14.05,7.0,292,79.0,213.0,0.2705479452054795,0.7294520547945206,1.0,22673.2,70538.84,161231.63,483694.9,738138.57,2190000,1451861.43
7.45,24.8,0.89,3.29,2.61,4.71,4.66,21.45,6.99,312,77.0,235.0,0.2467948717948718,0.7532051282051282,1.0,22656.13,70485.75,161110.28,483330.85,737583.02,2340000,1602416.98
6.89,22.55,0.99,3.0,3.16,4.43,5.88,9.52,6.91,290,76.0,214.0,0.2620689655172414,0.7379310344827587,1.0,22383.3,69636.93,159170.12,477510.36,728700.7,2175000,1446299.3
6.91,24.11,0.97,2.7,3.5,5.97,12.31,13.8,7.0,322,84.0,238.0,0.2608695652173913,0.7391304347826086,1.0,22676.42,70548.85,161254.51,483763.54,738243.32,2415000,1676756.68
7.01,22.9,1.05,3.2,2.43,4.64,2.21,17.58,6.97,279,69.0,210.0,0.24731182795698925,0.7526881720430108,1.0,22586.57,70269.34,160615.64,481846.93,735318.49,2092500,1357181.51
6.3,25.56,1.08,3.05,1.79,5.95,7.2,7.05,6.96,297,79.0,218.0,0.265993265993266,0.734006734006734,1.0,22546.42,70144.43,160330.12,480990.35,734011.32,2227500,1493488.68
6.58,24.85,0.98,2.89,1.66,3.05,5.19,13.0,6.99,293,71.0,222.0,0.24232081911262798,0.757679180887372,1.0,22641.83,70441.24,161008.54,483025.63,737117.24,2197500,1460382.76
6.41,26.46,0.96,3.19,1.59,6.8,2.54,18.11,7.0,287,66.0,221.0,0.22996515679442509,0.7700348432055749,1.0,22672.61,70537.02,161227.47,483682.4,738119.49,2152500,1414380.51
8.01,28.14,1.03,2.87,2.61,10.83,3.15,4.21,6.99,289,76.0,213.0,0.2629757785467128,0.7370242214532872,1.0,22646.14,70454.65,161039.21,483117.62,737257.61,2167500,1430242.39
7.36,22.22,1.08,3.06,1.84,4.89,2.13,17.27,7.0,283,74.0,209.0,0.26148409893992935,0.7385159010600707,1.0,22674.44,70542.69,161240.44,483721.32,738178.89,2122500,1384321.11
7.33,23.27,0.99,3.03,2.26,3.37,3.83,34.1,7.0,309,82.0,227.0,0.26537216828478966,0.7346278317152104,1.0,22667.84,70522.16,161193.5,483580.49,737963.98,2317500,1579536.02
7.13,24.01,1.01,2.91,1.89,4.17,2.62,9.57,6.98,322,71.0,251.0,0.2204968944099379,0.7795031055900621,1.0,22616.9,70363.7,160831.32,482493.97,736305.9,2415000,1678694.1
7.11,21.94,0.98,3.17,2.19,2.28,2.47,16.87,6.99,296,76.0,220.0,0.25675675675675674,0.7432432432432432,1.0,22639.28,70433.33,160990.46,482971.39,737034.47,2220000,1482965.53
6.69,24.45,1.17,3.08,3.63,8.69,14.87,20.83,6.98,310,65.0,245.0,0.20967741935483872,0.7903225806451613,1.0,22623.11,70383.01,160875.45,482626.36,736507.93,2325000,1588492.07
7.4,25.04,0.94,3.32,2.81,3.6,1.23,24.31,6.99,289,72.0,217.0,0.2491349480968858,0.7508650519031141,1.0,22651.59,70471.62,161077.99,483233.98,737435.19,2167500,1430064.81
6.64,24.54,1.07,2.84,1.73,6.87,3.92,20.15,6.98,321,82.0,239.0,0.2554517133956386,0.7445482866043613,1.0,22600.11,70311.46,160711.9,482135.71,735759.19,2407500,1671740.81
6.35,28.45,0.96,2.72,1.6,6.97,1.83,6.18,6.97,286,58.0,228.0,0.20279720279720279,0.7972027972027972,1.0,22574.18,70230.79,160527.52,481582.56,734915.06,2145000,1410084.94
7.54,24.33,0.82,3.26,3.58,6.17,2.51,23.66,6.98,333,64.0,269.0,0.1921921921921922,0.8078078078078078,1.0,22626.87,70394.71,160902.19,482706.57,736630.33,2497500,1760869.67
7.56,24.62,0.97,2.89,1.65,4.83,5.34,14.36,6.97,312,80.0,232.0,0.2564102564102564,0.7435897435897436,1.0,22571.86,70223.56,160511.0,481532.99,734839.41,2340000,1605160.59
6.63,23.88,1.0,3.16,1.73,2.37,2.0,5.47,6.96,266,61.0,205.0,0.22932330827067668,0.7706766917293233,1.0,22562.6,70194.75,160445.14,481335.43,734537.92,1995000,1260462.08
6.67,27.48,1.01,3.23,3.16,8.77,6.04,48.94,7.0,327,96.0,231.0,0.29357798165137616,0.7064220183486238,1.0,22669.64,70527.76,161206.3,483618.89,738022.58,2452500,1714477.42
